CONGRESS 2012 to 2020 in ALASKA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,California,N/A,2014,District 2,2,20120101,"54,400","Mensing, Dale",Challenger,"163,124","Huffman, Jared",Incumbent,N/A,N/A,N/A,N/A,N/A,"108,724",D,0,25.01,74.99,
House,California,N/A,2012,District 2,2,20120101,"91,310","Roberts, Daniel W.",Challenger,"226,216","Huffman, Jared",Challenger,N/A,N/A,N/A,N/A,N/A,"134,906",D,0,28.76,71.24,
House,California,N/A,2018,District 3,3,20120101,"97,376","Schaupp, Charles",Challenger,"134,875","Garamendi, John",Incumbent,N/A,N/A,N/A,N/A,N/A,"37,499",D,0,41.93,58.07,
House,California,N/A,2016,District 3,3,20120101,"104,453","Cleek, N. Eugene",Challenger,"152,513","Garamendi, John",Incumbent,N/A,N/A,N/A,N/A,N/A,"48,060",D,0,40.65,59.35,
House,California,N/A,2014,District 3,3,20120101,"71,036","Logue, Dan",Challenger,"79,224","Garamendi, John",Incumbent,N/A,N/A,N/A,N/A,N/A,"8,188",D,0,47.28,52.72,
House,California,N/A,2012,District 3,3,20120101,"107,086","Vann, Kim",Challenger,"126,882","Garamendi, John",Incumbent,N/A,N/A,N/A,N/A,N/A,"19,796",D,0,45.77,54.23,
House,California,N/A,2018,District 4,4,20120101,"184,401","McClintock, Tom",Incumbent,"156,253","Morse, Jessica",Challenger,N/A,N/A,N/A,N/A,N/A,"28,148",R,0,54.13,45.87,
House,California,N/A,2016,District 4,4,20120101,"220,133","McClintock, Tom",Incumbent,"130,845","Derlet, Robert W.",Challenger,N/A,N/A,N/A,N/A,N/A,"89,288",R,0,62.72,37.28,
House,California,N/A,2014,District 4,4,20120101,"126,784","McClintock, Tom",Incumbent,N/A,N/A,N/A,Republican-Open Primary,"84,350","Moore, Arthur",Challenger,N/A,"42,434",R,39.95,100,0,
House,California,N/A,2012,District 4,4,20120101,"197,803","McClintock, Tom",Incumbent,"125,885","Uppal, Jack",Challenger,N/A,N/A,N/A,N/A,N/A,"71,918",R,0,61.11,38.89,
House,California,N/A,2018,District 5,5,20120101,N/A,N/A,N/A,"205,860","Thompson, Mike",Incumbent,No Party Affiliation,"55,158","Mills, Anthony",Challenger,N/A,"150,702",D,21.13,0,100,
House,California,N/A,2016,District 5,5,20120101,"67,565","Santamaria, Carlos",Challenger,"224,526","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"156,961",D,0,23.13,76.87,
House,California,N/A,2014,District 5,5,20120101,N/A,N/A,N/A,"129,613","Thompson, Mike",Incumbent,Independent,"41,535","Hinton, James",Challenger,N/A,"88,078",D,24.27,0,100,
House,California,N/A,2012,District 5,5,20120101,"69,545","Loftin, Randy",Challenger,"202,872","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"133,327",D,0,25.53,74.47,
House,California,N/A,2018,District 6,6,20120101,N/A,N/A,N/A,"162,411","Matsui, Doris",Incumbent,Democrat-Open Primary,"39,528","Jefferson, Jrmar",Challenger,N/A,"122,883",D,19.57,0,100,
House,California,N/A,2016,District 6,6,20120101,"57,848","Evans, Robert H. Jr.",Challenger,"177,565","Matsui, Doris",Incumbent,N/A,N/A,N/A,N/A,N/A,"119,717",D,0,24.57,75.43,
House,California,N/A,2014,District 6,6,20120101,"36,448","McCray, Joseph Sr.",Challenger,"97,008","Matsui, Doris",Incumbent,N/A,N/A,N/A,N/A,N/A,"60,560",D,0,27.31,72.69,
House,California,N/A,2012,District 6,6,20120101,"53,406","McCray, Joseph Sr.",Challenger,"160,667","Matsui, Doris",Incumbent,N/A,N/A,N/A,N/A,N/A,"107,261",D,0,24.95,75.05,
House,California,N/A,2018,District 7,7,20120101,"126,601","Grant, Andrew",Challenger,"155,016","Bera, Ami",Incumbent,N/A,N/A,N/A,N/A,N/A,"28,415",D,0,44.96,55.04,
House,California,N/A,2016,District 7,7,20120101,"145,168","Jones, Scott R.",Challenger,"152,133","Bera, Ami",Incumbent,N/A,N/A,N/A,N/A,N/A,"6,965",D,0,48.83,51.17,
House,California,N/A,2014,District 7,7,20120101,"91,066","Ose, Doug",Challenger,"92,521","Bera, Ami",Incumbent,N/A,N/A,N/A,N/A,N/A,"1,455",D,0,49.6,50.4,
House,California,N/A,2012,District 7,7,20120101,"132,050","Lungren, Dan",Incumbent,"141,241","Bera, Ami",Challenger,N/A,N/A,N/A,N/A,N/A,"9,191",D,0,48.32,51.68,
House,California,N/A,2018,District 8,8,20120101,"102,415","Cook, Paul",Incumbent,N/A,N/A,N/A,Republican-Open Primary,"68,370","Donnelly, Tim",Challenger,N/A,"34,045",R,40.03,100,0,
House,California,N/A,2016,District 8,8,20120101,"136,972","Cook, Paul",Incumbent,"83,035","Ramirez, Rita",Challenger,N/A,N/A,N/A,N/A,N/A,"53,937",R,0,62.26,37.74,
House,California,N/A,2014,District 8,8,20120101,"77,480","Cook, Paul",Incumbent,"37,056","Conaway, Robert Dean",Challenger,N/A,N/A,N/A,N/A,N/A,"40,424",R,0,67.65,32.35,
House,California,N/A,2012,District 8,8,20120101,"103,093","Cook, Paul",Challenger,N/A,N/A,N/A,Republican-Open Primary,"76,551","Imus, Gregg",Challenger,N/A,"26,542",R,42.61,100,0,
House,California,N/A,2018,District 9,9,20120101,"87,349","Livengood, Marla",Challenger,"113,414","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"26,065",D,0,43.51,56.49,
House,California,N/A,2016,District 9,9,20120101,"98,992","Amador, Antonio C.",Challenger,"133,163","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"34,171",D,0,42.64,57.36,
House,California,N/A,2014,District 9,9,20120101,"57,729","Amador, Antonio C.",Challenger,"63,475","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"5,746",D,0,47.63,52.37,
House,California,N/A,2012,District 9,9,20120101,"94,704","Gill, Ricky",Challenger,"118,373","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"23,669",D,0,44.45,55.55,
House,California,N/A,2018,District 10,10,20120101,"105,955","Denham, Jeff",Incumbent,"115,945","Harder, Josh",Challenger,N/A,N/A,N/A,N/A,N/A,"9,990",D,0,47.75,52.25,
House,California,N/A,2016,District 10,10,20120101,"124,671","Denham, Jeff",Incumbent,"116,470","Eggman, Michael",Challenger,N/A,N/A,N/A,N/A,N/A,"8,201",R,0,51.7,48.3,
House,California,N/A,2014,District 10,10,20120101,"70,582","Denham, Jeff",Incumbent,"55,123","Eggman, Michael",Challenger,N/A,N/A,N/A,N/A,N/A,"15,459",R,0,56.15,43.85,
House,California,N/A,2012,District 10,10,20120101,"110,265","Denham, Jeff",Incumbent,"98,934","Hernandez, Jose",Challenger,N/A,N/A,N/A,N/A,N/A,"11,331",R,0,52.71,47.29,
House,California,N/A,2018,District 11,11,20120101,"71,312","Fitzgerald, John",Challenger,"204,369","DeSaulnier, Mark",Incumbent,N/A,N/A,N/A,N/A,N/A,"133,057",D,0,25.87,74.13,
House,California,N/A,2016,District 11,11,20120101,"83,341","Petersen, Roger Allen",Challenger,"214,868","DeSaulnier, Mark",Incumbent,N/A,N/A,N/A,N/A,N/A,"131,527",D,0,27.95,72.05,
House,California,N/A,2014,District 11,11,20120101,"57,160","Phan-Quang, Tue",Challenger,"117,502","DeSaulnier, Mark",Challenger,N/A,N/A,N/A,N/A,N/A,"60,342",D,0,32.73,67.27,
House,California,N/A,2012,District 11,11,20120101,"87,136","Fuller, Virginia",Challenger,"200,743","Miller, George",Incumbent,N/A,N/A,N/A,N/A,N/A,"113,607",D,0,30.27,69.73,
House,California,N/A,2018,District 12,12,20120101,"41,780","Remmer, Lisa",Challenger,"275,292","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,N/A,"233,512",D,0,13.18,86.82,
